speed_mm_s,accel_mm_s2,current_ma,chop_mode,microsteps,test_condition_id,repeat_index,sg_enabled,sg_interval_ms,sglog_enabled
80,100,700,stealth,16,MOVECHK_700_80_100,1,1,20,0
80,100,700,stealth,16,MOVECHK_700_80_100,2,1,20,0
80,100,700,stealth,16,MOVECHK_700_80_100,3,1,20,0
80,100,800,stealth,16,MOVECHK_800_80_100,1,1,20,0
80,100,800,stealth,16,MOVECHK_800_80_100,2,1,20,0
80,100,800,stealth,16,MOVECHK_800_80_100,3,1,20,0
80,100,900,stealth,16,MOVECHK_900_80_100,1,1,20,0
80,100,900,stealth,16,MOVECHK_900_80_100,2,1,20,0
80,100,900,stealth,16,MOVECHK_900_80_100,3,1,20,0
