speed_mm_s,accel_mm_s2,current_ma,chop_mode,microsteps,test_condition_id,repeat_index,sg_enabled,sg_interval_ms,sglog_enabled
150,500,1000,spread,16,LOSS_100_SPD_150_ACC_500_SPREAD,1,1,20,0
150,500,1000,spread,16,LOSS_100_SPD_150_ACC_500_SPREAD,2,1,20,0
150,500,1000,spread,16,LOSS_100_SPD_150_ACC_500_SPREAD,3,1,20,0
150,500,1000,spread,16,LOSS_100_SPD_150_ACC_500_SPREAD,4,1,20,0
150,500,1000,spread,16,LOSS_100_SPD_150_ACC_500_SPREAD,5,1,20,0
150,500,1400,stealth,16,LOSS_1400_SPD_150_ACC_500_STEALTH,1,1,20,0
150,500,1400,stealth,16,LOSS_1400_SPD_150_ACC_500_STEALTH,2,1,20,0
150,500,1400,stealth,16,LOSS_1400_SPD_150_ACC_500_STEALTH,3,1,20,0
150,500,1400,stealth,16,LOSS_1400_SPD_150_ACC_500_STEALTH,4,1,20,0
150,500,1400,stealth,16,LOSS_1400_SPD_150_ACC_500_STEALTH,5,1,20,0
150,500,1400,spread,16,LOSS_1400_SPD_150_ACC_500_SPREAD,1,1,20,0
150,500,1400,spread,16,LOSS_1400_SPD_150_ACC_500_SPREAD,2,1,20,0
150,500,1400,spread,16,LOSS_1400_SPD_150_ACC_500_SPREAD,3,1,20,0
150,500,1400,spread,16,LOSS_1400_SPD_150_ACC_500_SPREAD,4,1,20,0
150,500,1400,spread,16,LOSS_1400_SPD_150_ACC_500_SPREAD,5,1,20,0
